Title,Label,Target
Spike synchrony as a measure of Gestalt structure,Neuroscience,0
Metabolic flexibility ensures proper neuronal network function in moderate neuroinflammation,Neuroscience,0
Early involvement of peripherally derived monocytes in inflammation in an NMO-like mouse model,Neuroscience,0
"Complementary nutritional and health promoting constituents in germinated and probiotic fermented flours from cowpea, sorghum and orange fleshed sweet potato",Chemistry,1
Efficient photocatalytic degradation of textile dye pollutants using thermally exfoliated graphitic carbon nitride (TE–g–C 3 N 4 ),Chemistry,1
Photocatalytic degradation of organic dyes using reduced graphene oxide (rGO),Chemistry,1
Elimination of olfactory sensory neurons by zinc sulfate inoculation prevents SARS-CoV-2 infection of the brain in K18-hACE2 transgenic mice,Neuroscience,0
Spectrofluorimetric determination of butylated hydroxytoluene and butylated hydroxyanisole in their combined formulation: application to butylated hydroxyanisole residual analysis in milk and butter,Chemistry,1
"Research progress on the origin, fate, impacts and harm of microplastics and antibiotic resistance genes in wastewater treatment plants",Chemistry,1
Neuroimaging-based evidence for sympathetic correlation between brain activity and peripheral vasomotion during pain anticipation,Neuroscience,0
Separation of bimodal fMRI responses in mouse somatosensory areas into V1 and non-V1 contributions,Neuroscience,0
"Preparation, characterization and antioxidant and anticancerous potential of Quercetin loaded β-glucan particles derived from mushroom and yeast",Chemistry,1
Isotopic analysis of formula milk reveals potential challenges in geolocating bottle-fed babies,Chemistry,1
Neurotrophic and synaptic effects of GnRH and/or GH upon motor function after spinal cord injury in rats,Neuroscience,0
"Inadequate food safety knowledge and hygiene practices among street food vendors in Dhaka, Bangladesh",Chemistry,1
"1,2,3-triazole and chiral Schiff base hybrids as potential anticancer agents: DFT, molecular docking and ADME studies",Chemistry,1
Probing intracellular potassium dynamics in neurons with the genetically encoded sensor lc-LysM GEPII 1.0 in vitro and in vivo,Neuroscience,0
Chemical and sensory analyses of cultivated pork fat tissue as a flavor enhancer for meat alternatives,Chemistry,1
Sensory adaptation in the barrel cortex during active sensation in the behaving mouse,Neuroscience,0
Lateral lamina V projection neuron axon collaterals connect sensory processing across the dorsal horn of the mouse spinal cord,Neuroscience,0
Decoding myasthenia gravis: advanced diagnosis with infrared spectroscopy and machine learning,Chemistry,1
Elevation of astrocyte-derived extracellular vesicles over the first month post-stroke in humans,Neuroscience,0
Network pharmacology combined with molecular docking and experimental verification to elucidate the effect of flavan-3-ols and aromatic resin on anxiety,Chemistry,1
Central neurodegeneration in Kennedy’s disease accompanies peripheral motor dysfunction,Neuroscience,0
Reverse engineering of feedforward cortical-Hippocampal microcircuits for modelling neural network function and dysfunction,Neuroscience,0
Functional diversities within neurons and astrocytes in the adult rat auditory cortex revealed by single-nucleus RNA sequencing,Neuroscience,0
MiR-503-5p alleviates peripheral neuropathy-induced neuropathic pain in T2DM mice by regulating SEPT9 to inhibit astrocyte activation,Neuroscience,0
Inhibiting spinal cord-specific hsp90 isoforms reveals a novel strategy to improve the therapeutic index of opioid treatment,Neuroscience,0
Photocatalytic activity of the biogenic mediated green synthesized CuO nanoparticles confined into MgAl LDH matrix,Chemistry,1
Facile synthesis of anthranilic acid based dual functionalized novel hyper cross-linked polymer for promising CO 2 capture and efficient Cr 3+ adsorption,Chemistry,1
Neuronal knockdown of Cullin3 as a Drosophila model of autism spectrum disorder,Neuroscience,0
Autophagy as a new player in the regulation of clock neurons physiology of Drosophila melanogaster,Neuroscience,0
Repetitive magnetic stimulation prevents dorsal root ganglion neuron death and enhances nerve regeneration in a sciatic nerve injury rat model,Neuroscience,0
Exposure to an enriched environment modulates the synaptic vesicle cycle in a mouse spinal cord injury model,Neuroscience,0
"Synthesis of CuO, ZnO nanoparticles, and CuO-ZnO nanocomposite for enhanced photocatalytic degradation of Rhodamine B: a comparative study",Chemistry,1
Unraveling the complex interplay between obesity and vitamin D metabolism,Chemistry,1
The adsorption of drugs on nanoplastics has severe biological impact,Chemistry,1
PowerNovo: de novo peptide sequencing via tandem mass spectrometry using an ensemble of transformer and BERT models,Chemistry,1
"Sensory analysis of the flavor profile of full immersion hot, room temperature, and cold brewed coffee over time",Chemistry,1
Resting-state fNIRS reveals changes in prefrontal cortex functional connectivity during TENS in patients with chronic pain,Neuroscience,0
Cell type- and layer-specific plasticity of olfactory bulb interneurons following olfactory sensory neuron ablation,Neuroscience,0
Semi-automated approaches for interrogating spatial heterogeneity of tissue samples,Chemistry,1
Spatiotemporal expression of thyroid hormone transporter MCT8 and THRA mRNA in human cerebral organoids recapitulating first trimester cortex development,Neuroscience,0
Highly biomimetic spiking neuron using SiGe heterojunction bipolar transistors for energy-efficient neuromorphic systems,Neuroscience,0
